,0,2,3,4,11,12,13,14,15,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.0,0.1450381679389313,1.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.1272264631043257,0.14208882720333102
recall,0.0,0.0,0.0,1.0,0.0625,0.0,0.0,0.0,0.0,0.15151515151515152,0.11805555555555555,0.15151515151515152
f1-score,0.0,0.0,0.0,0.25333333333333335,0.11764705882352941,0.0,0.0,0.0,0.0,0.15151515151515152,0.04122004357298475,0.050724896019013664
support,1.0,25.0,11.0,19.0,16.0,7.0,10.0,16.0,27.0,0.15151515151515152,132.0,132.0
