,0,1,2,3,4,5,6,7,8,9,10,11,12,accuracy,macro avg,weighted avg
precision,0.22727272727272727,0.08571428571428572,0.12737127371273713,0.0990990990990991,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.10795454545454546,0.05175313224093711,0.06580642600875417
recall,0.06172839506172839,0.38961038961038963,0.5340909090909091,0.13253012048192772,0.0,0.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.10795454545454546,0.08752013803407496,0.10795454545454546
f1-score,0.0970873786407767,0.1405152224824356,0.20568927789934352,0.1134020618556701,0.0,0.0,0.03448275862068966,0.0,0.0,0.0,0.0,0.0,0.0,0.10795454545454546,0.045475130730685806,0.05645401819420791
support,81.0,77.0,88.0,83.0,82.0,91.0,101.0,66.0,82.0,64.0,41.0,19.0,5.0,0.10795454545454546,880.0,880.0
