date,true label,w(i-0),w(i-1),w(i-2),w(i-3),w(i-4),w(i-5),w(i-6),w(i-7),w(i-8),w(i-9),w(i-10),w(i-11),w(i-12),w(i-13),w(i-14),w(i-15),w(i-16),w(i-17),w(i-18),w(i-19),w(i-20),w(i-21),w(i-22),w(i-23),w(i-24),w(i-25),w(i-26),w(i-27),w(i-28),w(i-29),w(i-30),w(i-31),w(i-32),w(i-33),w(i-34),w(i-35),w(i-36),w(i-37),w(i-38),w(i-39),w(i-40),w(i-41),w(i-42),w(i-43),w(i-44),w(i-45),w(i-46),w(i-47),w(i-48),w(i-49),w(i-50),w(i-51),w(i-52),w(i-53),w(i-54),w(i-55),w(i-56),w(i-57),w(i-58),w(i-59),w(i-60),w(i-61),w(i-62),w(i-63),w(i-64),w(i-65),w(i-66),w(i-67),w(i-68),w(i-69),w(i-70),w(i-71),w(i-72),w(i-73),w(i-74),w(i-75),w(i-76),w(i-77),w(i-78),w(i-79),w(i-80),w(i-81),w(i-82),w(i-83),w(i-84),w(i-85),w(i-86),w(i-87),w(i-88),w(i-89),w(i-90),w(i-91),w(i-92),w(i-93),w(i-94),w(i-95),w(i-96),w(i-97),w(i-98),w(i-99),w(i-100),w(i-101),w(i-102),w(i-103),w(i-104),w(i-105),w(i-106),w(i-107),w(i-108),w(i-109),w(i-110),w(i-111),w(i-112),w(i-113),w(i-114),w(i-115),w(i-116),w(i-117),w(i-118),w(i-119),w(i-120),w(i-121),w(i-122),w(i-123),w(i-124),w(i-125),w(i-126),w(i-127),w(i-128),w(i-129),w(i-130),w(i-131),w(i-132),w(i-133),w(i-134),w(i-135),w(i-136),w(i-137),w(i-138),w(i-139),w(i-140),w(i-141),w(i-142),w(i-143),w(i-144),w(i-145),w(i-146),w(i-147),w(i-148),w(i-149),w(i-150)
160,4,1,4,6,8,5,3,7,5,3,4,7,4,10,4,1,2,8,4,3,5,2,5,5,1,6,3,2,3,10,7,7,3,5,9,10,5,8,6,7,1,7,1,10,6,7,11,3,10,10,4,5,6,1,5,7,7,9,10,9,6,1,8,8,1,1,7,10,8,8,3,7,7,7,8,9,3,8,6,10,3,9,2,9,7,7,4,8,6,8,1,4,6,6,7,3,1,9,10,10,6,9,9,7,6,6,6,3,7,7,3,7,7,10,6,2,3,6,3,9,5,8,9,10,7,9,4,10,6,3,3,5,4,6,4,5,7,7,6,9,3,8,7,10,4,2,3,6,4,1,2,5
161,6,12,1,4,6,10,5,10,7,4,10,0,7,4,0,4,9,6,8,4,5,12,3,5,5,5,12,3,3,3,0,7,3,3,5,3,10,7,1,4,0,12,7,1,0,6,1,12,9,0,7,4,5,6,3,4,8,7,9,0,9,6,1,12,12,1,1,8,9,0,5,10,8,7,8,1,12,10,12,10,10,10,9,6,9,7,7,4,5,6,0,1,4,6,6,7,5,1,9,0,9,6,9,0,8,0,6,6,10,7,7,3,8,9,0,6,6,10,6,3,9,5,8,13,10,7,9,4,10,6,3,8,5,4,6,4,10,7,7,6,8,10,8,7,0,4,6,10,12,4,1,6
162,6,3,12,1,4,6,10,9,12,7,4,10,0,3,4,0,4,1,6,10,4,3,12,10,5,5,9,12,5,6,3,0,9,8,8,5,9,10,12,5,4,4,12,7,1,0,6,7,12,3,0,3,1,5,6,1,4,8,7,1,0,5,6,1,12,12,5,1,8,9,0,5,10,8,3,8,1,12,3,12,10,10,10,0,6,9,7,3,4,5,6,0,1,0,6,6,8,3,1,9,0,9,6,9,0,8,0,6,6,10,7,7,5,8,9,0,6,6,10,6,8,9,0,8,0,10,7,1,4,10,6,8,3,5,4,6,4,10,7,7,6,10,10,8,7,0,4,6,10,12,4,3
163,5,1,3,12,1,4,6,10,0,10,7,1,10,4,7,4,4,4,1,10,10,4,3,6,10,5,5,1,12,3,1,3,4,9,1,3,5,9,10,7,5,12,7,12,7,1,1,6,12,12,3,4,5,4,5,6,1,4,7,7,1,4,9,0,1,12,12,5,1,12,9,0,5,10,7,7,8,1,9,3,12,10,0,10,0,6,9,7,7,4,5,6,7,1,4,6,6,7,3,1,9,0,9,6,9,0,8,0,0,6,10,7,7,3,8,7,0,6,0,3,6,3,9,0,8,0,1,7,7,4,1,0,3,10,5,4,6,4,8,7,7,0,9,10,8,7,1,4,9,10,6,4
164,3,9,0,3,12,9,6,9,10,5,3,7,7,10,0,7,4,0,9,9,10,10,4,3,6,10,5,5,9,12,3,10,3,0,9,12,3,12,8,10,5,8,7,7,7,7,7,0,12,12,12,3,0,5,4,5,10,4,4,7,7,9,0,5,0,0,12,12,5,9,12,9,0,5,3,7,7,12,8,8,3,12,10,0,8,9,6,9,7,7,7,5,6,7,3,0,6,10,7,3,7,9,0,9,6,9,0,8,0,10,6,10,7,7,3,12,9,0,7,10,3,10,3,9,0,8,0,10,7,9,4,12,0,3,10,5,4,6,4,8,7,7,0,8,3,8,7,0,4,10,10,6
165,1,10,0,0,5,12,1,4,6,10,5,5,7,4,10,0,7,4,0,12,1,10,10,4,5,3,10,3,5,14,12,3,10,3,0,3,12,10,12,3,10,10,1,4,4,1,7,1,0,12,12,12,5,0,10,14,5,6,1,4,8,7,8,0,5,0,1,12,8,1,1,12,3,0,5,5,8,5,8,1,0,1,12,6,0,10,0,6,3,7,7,4,5,6,1,1,0,6,6,7,5,1,0,0,10,6,3,0,8,0,6,6,10,7,7,10,12,3,0,6,6,10,6,10,3,5,8,0,10,7,10,4,10,6,3,10,5,4,6,4,10,7,7,6,10,10,8,7,0,4,6,10
166,3,3,3,9,0,3,8,9,3,9,10,5,5,7,7,10,0,7,3,0,9,9,10,10,3,3,5,10,5,5,3,6,3,8,3,0,7,8,8,5,3,10,5,0,7,7,7,7,7,0,6,7,10,3,0,3,3,5,6,9,5,8,7,8,0,5,6,0,8,8,5,7,10,3,0,5,5,5,7,8,8,0,3,3,6,6,10,9,3,3,7,3,7,5,6,7,3,9,6,6,3,3,7,9,0,10,6,9,0,8,0,6,6,10,7,7,8,8,9,0,6,6,10,6,8,3,5,8,6,10,7,9,9,10,6,8,10,5,3,6,10,5,7,7,6,10,10,8,7,0,3,10
167,7,0,14,10,9,0,14,8,9,4,9,10,5,5,7,4,10,4,7,4,0,9,9,10,10,4,3,5,10,5,5,14,6,3,8,3,4,4,0,8,5,3,10,5,0,6,4,0,7,8,0,10,7,10,3,0,10,14,5,6,0,4,7,7,8,4,5,6,0,8,8,5,8,10,3,0,5,5,10,7,8,8,4,14,10,6,6,10,9,14,10,4,14,4,5,6,0,0,4,6,6,7,3,0,9,0,10,6,9,0,7,6,6,6,10,7,7,8,7,9,0,6,6,9,6,8,9,5,8,6,10,7,10,4,10,6,3,10,5,4,6,4,10,7,7,6,10,10,8,7,0,4
168,9,5,0,1,10,9,1,7,12,9,0,9,12,5,5,7,5,12,0,7,4,0,10,9,12,12,7,3,5,10,5,5,1,12,3,3,3,0,7,1,3,5,3,10,5,8,7,7,7,7,9,0,12,12,10,3,0,10,4,5,6,1,4,7,7,9,0,5,6,1,12,8,1,9,12,3,0,5,5,7,7,8,8,8,1,12,6,6,10,9,1,9,7,1,7,5,6,1,1,0,6,6,7,3,1,9,0,10,6,9,0,8,0,6,6,10,7,7,3,12,9,0,6,6,10,6,3,9,5,8,6,10,7,9,4,12,6,3,12,5,0,6,7,10,7,7,6,10,10,8,7,0
169,8,1,5,0,1,10,9,1,7,12,9,0,9,12,5,5,7,5,12,0,7,0,0,9,9,12,12,0,3,5,12,5,5,1,6,3,3,3,0,7,1,3,5,3,10,5,8,6,0,7,7,9,0,12,12,10,3,0,10,1,5,6,1,4,7,7,9,0,5,6,1,12,12,1,9,12,3,0,5,5,7,7,12,8,8,1,12,6,6,10,9,9,9,0,1,0,5,6,1,1,0,6,6,7,3,1,9,0,10,6,9,0,12,6,6,6,10,7,7,3,12,9,0,6,6,9,6,3,9,5,12,7,10,7,10,0,10,6,3,12,5,0,6,7,10,7,7,6,10,15,12,7
170,8,8,5,5,0,1,12,9,1,5,12,9,0,9,8,5,8,7,5,8,0,3,0,0,12,9,8,8,5,3,5,8,5,5,1,12,3,3,3,0,7,1,3,12,3,10,5,5,6,0,12,7,8,0,12,12,12,3,0,10,5,5,6,1,5,8,7,9,0,9,6,1,8,8,1,9,8,3,0,5,8,8,3,8,8,8,1,12,8,10,5,9,6,9,0,1,0,5,6,1,1,0,6,6,7,3,1,9,0,10,6,9,0,8,6,6,6,10,7,7,3,12,9,0,6,6,6,6,3,9,5,8,7,10,7,9,0,10,6,3,8,5,0,6,7,5,7,7,6,8,5,8
171,16,17,17,14,5,0,14,10,9,1,14,8,9,10,9,0,5,5,7,5,3,0,3,8,1,9,9,3,8,5,3,5,3,5,5,14,6,3,6,3,10,7,1,3,5,17,10,5,0,0,0,0,7,17,1,6,7,10,3,0,10,14,5,6,1,17,8,7,9,10,5,10,1,8,8,10,9,8,3,0,0,5,17,3,8,8,17,14,8,10,10,10,9,6,9,7,1,0,0,6,0,1,0,6,6,7,3,0,9,0,10,6,9,0,8,6,6,6,10,7,7,6,8,9,10,6,6,6,6,1,9,5,0,10,10,7,10,9,10,6,3,3,5,0,6,7,10,7,7,6,10,10
172,6,18,17,17,1,5,0,1,12,9,0,17,8,9,0,9,8,5,5,7,4,3,0,3,4,0,9,9,3,8,4,3,5,3,5,5,1,6,5,6,3,0,4,1,12,5,17,10,5,17,4,4,12,7,17,0,6,7,12,3,0,10,17,5,6,1,4,4,7,9,0,5,6,0,8,8,12,9,8,3,0,5,5,8,3,8,8,17,1,8,8,10,17,9,6,9,4,1,4,5,6,1,1,0,6,6,4,3,1,9,0,10,6,9,0,8,0,6,6,12,7,7,12,8,9,0,6,6,9,6,1,9,5,8,0,10,4,9,4,10,6,3,3,5,0,6,7,10,7,7,6,8
173,8,7,18,6,6,1,5,0,1,3,9,1,10,8,9,10,9,0,5,5,7,4,3,0,3,4,1,9,9,6,0,4,3,5,3,5,5,1,6,3,6,3,10,4,1,3,5,1,10,5,0,4,4,0,7,9,1,6,7,8,3,1,10,10,5,6,1,4,4,7,9,10,5,6,1,8,8,10,9,8,1,0,0,5,8,3,8,0,6,1,8,6,10,10,9,6,9,4,1,4,0,6,0,1,10,6,6,4,3,0,9,0,10,6,9,0,8,6,6,6,10,7,7,3,8,9,10,6,6,9,6,1,9,5,0,10,10,4,10,4,10,6,3,3,5,4,6,7,10,7,7,6
174,3,1,7,18,6,6,14,5,0,14,3,9,0,14,12,1,4,9,12,5,5,7,4,12,0,3,9,0,9,9,12,12,4,3,5,3,5,5,14,12,5,6,3,0,8,11,3,5,14,10,5,1,4,4,3,7,1,0,12,12,11,3,0,14,14,5,12,9,4,8,7,1,0,5,0,7,12,12,10,1,12,10,0,5,5,8,3,12,1,4,14,12,12,0,10,8,6,8,4,11,4,5,9,4,14,0,9,12,8,3,1,8,0,10,6,9,0,8,0,6,6,10,7,7,1,6,9,0,6,6,9,6,3,8,5,8,8,10,4,10,4,10,6,8,12,5,4,6,7,10,7,7
175,9,3,1,7,18,17,17,17,5,0,1,3,9,1,17,12,1,0,9,12,5,5,7,5,12,0,3,12,0,9,9,6,12,0,3,5,3,5,5,1,9,5,6,3,0,8,1,3,5,17,10,5,17,6,0,1,7,1,0,9,9,17,3,0,10,17,5,6,7,17,8,7,1,0,5,6,7,12,12,1,1,12,3,0,5,5,8,3,6,1,17,1,12,6,10,17,8,1,8,0,1,0,5,9,0,1,0,9,6,8,3,1,8,0,10,6,9,0,8,6,6,6,3,7,7,3,12,9,0,6,6,9,6,3,8,5,8,8,10,10,10,0,10,6,8,12,5,0,6,7,10,7
176,1,7,10,1,0,18,6,6,6,8,0,1,10,9,0,1,12,9,10,9,8,4,7,7,4,3,0,7,3,0,9,9,6,8,4,3,4,3,8,12,7,6,3,6,3,0,7,1,3,12,1,10,4,8,4,4,7,7,4,0,6,1,12,3,0,10,12,12,6,0,4,7,10,9,0,12,6,0,6,8,1,9,12,3,0,8,8,7,7,6,1,4,1,12,6,6,4,9,6,9,4,1,4,8,6,1,1,0,6,6,7,3,1,9,0,10,6,9,0,7,0,6,6,10,7,7,3,12,9,0,6,6,9,6,3,9,0,8,7,10,7,9,4,6,6,3,8,4,4,6,7,10
177,10,1,3,12,1,1,18,17,17,1,5,0,1,12,9,1,1,12,9,4,9,12,5,7,7,5,12,0,10,4,0,9,9,12,12,4,10,5,1,5,5,7,6,5,3,10,0,3,1,3,5,17,10,5,17,6,4,12,7,17,1,12,12,12,10,0,10,17,5,6,1,17,6,4,9,0,5,0,1,12,12,12,9,12,10,0,5,5,17,10,12,1,17,1,12,12,0,17,9,6,9,4,1,4,5,6,1,1,0,6,6,6,7,1,9,0,10,6,9,0,12,0,6,6,12,7,7,3,12,9,0,7,6,9,6,1,9,5,12,6,10,4,9,4,10,6,3,12,5,4,6,7
178,5,9,1,8,10,1,1,9,17,17,6,5,0,6,10,9,1,17,8,1,10,9,0,5,7,7,5,6,0,10,9,0,9,9,6,6,5,10,5,1,5,5,7,6,5,6,10,0,8,1,7,5,17,10,5,17,6,0,10,7,1,1,6,8,8,10,0,10,17,5,6,1,17,8,10,1,0,5,6,1,6,8,10,1,8,10,0,5,5,8,10,6,1,17,1,8,6,6,17,8,6,8,0,10,0,5,6,0,1,0,6,6,8,7,1,8,0,10,6,9,0,8,0,6,6,10,7,7,1,8,9,0,7,6,9,6,1,8,5,8,8,10,10,10,9,6,6,8,10,5,0,6
